au|qual
GEHRLEIN, W|12.13636
GELAN, A|3.222222
GELBACH, J|12.02778
GELFAND, A|7
GELMAN, A|3.3
GELTNER, D|9.047222
GELY, R|57.75
GEMAN, H|15.83
GENICOT, G|11.03333
GENNOTTE, G|24.875
GENTRY, W|13.75
GENTZKOW, M|25.28572
GEOFFARD, P|16.94444
GEOGHEGAN, J|20.56667
GEORGE, E|3.277778
GEORGE, L|7
GEORGE, T|14.13333
GEORGES, C|8.5
GERARDI, D|13.33333
GERBER, E|18.75
GERBER, T|4.75
GEREFFI, G|174.4167
GERKING, S|8.845098
GERSOVITZ, M|27.12222
GERSTNER, E|16.625
GERTLER, M|62.23321
GERTLER, P|14.61623
GERTNER, R|26.03333
GERVAIS, S|38.625
GESKE, R|81.25
GEWEKE, J|41.01056
GHATAK, M|19.73077
GHEMAWAT, P|25.75
GHIRONI, F|6.870371
GHOSAL, V|11.64286
GHOSH, A|14.59722
GHOSH, C|5.398148
GHOSH, M|2.333333
GHOSH, S|18.63334
GHURA, D|13
GHYSELS, E|13.86806
GIACCOTTO, C|8.738095
GIACOMINI, R|25.125
GIARRATANI, F|5.466667
GIBBONS, J|7.5
GIBBONS, M|64.40476
GIBBONS, R|40.18148
GIBBS, M|33.11111
GIBSON, C|34.25
GIBSON, L|9.333333
GIDDY, I|5.444445
GIERTZ, J|5.861111
GIESECKE, K|19.5
GIL, R|12.33333
GILBERT, R|30.65432
GILBOA, I|20.15805
GILCHRIST, S|32.1619
GILES, J|7.291666
GILLEN, K|9.666666
GILLES, C|7.708333
GILLES, R|8.805555
GILLESKIE, D|13.39583
GILLIGAN, T|15.08854
GILLINGHAM, K|2.466667
GILLIS, M|7.666667
GILSON, R|62.5
GILSON, S|89.44444
GINSBURG, T|16.25
GINTHER, D|12.11905
GISSER, M|17.85185
GIST, J|9.5
GIULIANO, G|25.90476
GIVOLY, D|45.08333
GJERSTAD, S|25.83333
GLADWIN, C|12.86905
GLAESER, E|34.33374
GLASER, B|15.91667
GLASMEIER, A|25.75
GLASS, A|19.27778
GLASSERMAN, P|25.16666
GLAUBER, R|63.5
GLAZER, A|11.43056
GLENDON, S|3
GLEWWE, P|17.9977
GLEZAKOS, C|11.14286
GLICK, H|9.411236
GLICK, P|7.357143
GLICKMAN, N|11.7381
GLICKMAN, T|5
GLIED, S|14.2
GLIMCHER, P|15.66667
GLOMM, G|15.41667
GLOSTEN, L|273
GLYCOPANTIS, D|3.888889
GNEEZY, U|21.33055
GODBY, R|4.8
GODDEERIS, J|19.05556
GODE, D|92.75
GODOY, R|4.030743
GOEREE, J|10.00208
GOETTLER, R|7.388889
GOETZ, C|6.166667
GOETZ, S|12.49359
GOETZMANN, W|15.13021
GOHMANN, S|7.25
GOLAN, A|10.875
GOLAN, E|4.5
GOLBE, D|9.4375
GOLD, M|7.008332
GOLDBERG, A|6.7
GOLDBERG, L|14.46875
GOLDBERG, M|18.4375
GOLDBERG, P|30.17963
GOLDBERG, V|36.73077
GOLDBERGER, A|40.8
GOLDEN, B|5.25
GOLDFARB, B|6.333333
GOLDFARB, R|9.916667
GOLDFELD, S|13.0625
GOLDHABER, D|15.78704
GOLDIN, C|23.20732
GOLDMAN, E|10.83333
GOLDMAN, S|17.8125
GOLDSMITH, P|4.166667
GOLDSMITH, W|4.75
GOLDSTEI.GS|10
GOLDSTEIN, G|19.16667
GOLDSTEIN, I|7.392858
GOLDSTEIN, J|13.38889
GOLDSTEIN, R|16.25
GOLEC, J|17.15
GOLLEDGE, R|17.83333
GOLLIN, D|27.2
GOLLOP, F|18.07143
GOLOB, T|13.46296
GOLOSOV, M|11.89048
GOLUB, A|4.03125
GOLUB, B|12.33333
GOMES, A|7.4
GOMES, J|21.91667
GOMESCASSERES, B|119.5
GOMESNETO, J|5.5
GOMEZIBANEZ, J|4
GOMPERS, P|39.425
GONG, G|4.777779
GONZALEZ, A|6.714286
GONZALEZ-RIVERA, G|14.16667
GONZALEZ-VEGA, C|4.146667
GONZALO, J|83.2
GOODFRIEND, M|26.85555
GOODHUE, R|6.757143
GOODMAN, A|24.85714
GOODMAN, M|11.5
GOODMAN, R|129.5714
GOODSPEED, T|13.5
GOODWIN, B|11.11905
GOODWIN, T|14.1
GOOLSBEE, A|14.40152
GOPINATH, G|9.051282
GORDON, N|13
GORDON, P|10.47222
GORDON, R|31.20847
GORDON, W|10.5
GORMLEY, W|18.5
GORNICK, J|9.277778
GORODNICHENKO, Y|3.5625
GORR, W|8.437499
GORT, M|34.04762
GORTON, G|20.03125
GOSS, E|6.888889
GOTTFRIED, H|14
GOTTSCHALK, P|23.67333
GOULD, B|8.681373
GOULD, J|47.21296
GOULD, P|31.08333
GOULDER, L|19.83705
GOULET, D|13.4
GOULIAS, K|3.333333
GOUREVITCH, P|6.333333
GOURINCHAS, P|19.03704
GOUVEIA, M|18.125
GOVINDAN, S|5.119047
GOW, D|8
GOW, H|10.6875
GOWDY, J|9.895833
GOWRISANKARAN, G|9.351389
GOYAL, A|15.7
GOZALO, P|19.125
GRABOWSKI, D|17.2037
GRABOWSKI, H|38.48958
GRACE, M|8.270833
GRAETZ, M|10.76667
GRAFF, G|6.166667
GRAHAM, B|10.46667
GRAHAM, D|22.46667
GRAHAM, F|8.75
GRAHAM, J|34.07738
GRAMLICH, E|28.33951
GRAMM, C|5.25
GRAMM, W|9.071428
GRAMPP, W|10.75
GRANGER, C|102.8368
GRANOVETTER, M|117.25
GRANT, R|10.08333
GRAUER, F|24.25
GRAVES, P|40.97436
GRAY, C|12.25
GRAY, H|11.78571
GRAY, J|61.42424
GRAY, L|14
GRAY, M|8.833332
GRAY, W|11.12778
GREANEY, T|14.5
GREEN, E|41.42424
GREEN, F|7.75
GREEN, G|6.25
GREEN, J|24.99011
GREEN, M|5.333333
GREEN, R|18.62195
GREEN, T|17.91667
GREENBAUM, R|6.966667
GREENBAUM, S|14.24074
GREENBERG, E|17.77778
GREENBERG, J|23.30556
GREENE, J|13.53333
GREENE, W|46.56322
GREENHUT, M|14.28646
GREENING, L|8.308333
GREENSTEIN, S|12.50926
GREENSTONE, M|12.81609
GREENWALD, B|28.27632
GREENWOO.MJ|21.33333
GREENWOOD, D|6.625
GREENWOOD, J|25.72826
GREENWOOD, M|37.40417
GREENWOOD, R|12.53333
GREGORY, P|11.10556
GREIF, A|115.9091
GRENADIER, S|38.2037
GRENNES, T|8.833333
GRESIK, T|10.57143
GRIER, K|20.17803
GRIESON, R|14.66667
GRIFFIN, J|19.65244
GRIFFIN, R|9.444445
GRIFFITH, A|4.5
GRIFFITH, D|16.40741
GRIFFITHS, W|5.166667
GRILICHES, Z|104.2021
GRIMSRUD, K|3.375
GRINBLATT, M|34.6
GRINOLS, E|10.51515
GRINSTEIN, Y|15.95833
GROFMAN, B|8.183908
GROGGER, J|22.8005
GRONBERG, T|7.743055
GROOTHUIS, P|8.694445
GROSECLOSE, T|16.25
GROSS, D|15.61111
GROSS, J|9.375
GROSS, M|3.75
GROSSKOPF, B|7.2
GROSSKOPF, S|18.2619
GROSSMAN, G|49.49718
GROSSMAN, H|37.46154
GROSSMAN, M|51.59167
GROSSMAN, R|12.13333
GROSSMAN, S|124.4678
GROVE, M|7.3
GROVES, T|128.6111
GRUBB, F|13.95833
GRUBB, M|10
GRUBB, W|21.4
GRUBEL, H|36.08148
GRUBER, J|20.50789
GRUBER, M|14.2
GRUBESIC, T|13.66667
GRUCHY, A|7.5
GU, Z|16
GUADALUPE, M|5.933334
GUASCH, J|7.136274
GUAY, W|31.71429
GUENTHER, D|10.73333
GUEST, A|15.5
GUGERTY, M|29.25
GUGGENBERGER, P|10.11111
GUGLER, J|32
GUIDOLIN, M|7.719697
GUILKEY, D|10.50809
GUIMARAES, P|9.725926
GUINNANE, T|19.35
GUISINGER, S|6
GUL, F|29.10897
GULDMANN, J|7.75
GULEN, S|15.66667
GULHATI, R|10
GULLEDGE, T|1.75
GUNDERSEN, C|9.881667
GUO, J|11.76053
GUO, M|4.25
GUO, X|7.500001
GUPTA, M|8.3
GUPTA, N|4.083333
GURLEY, J|14.25
GURMU, S|13.36667
GURVEN, M|9.333334
GURYAN, J|8.340909
GUSTELY, R|8.333334
GUSTMAN, A|14.34848
GUTHRIE, R|8
GUTIERREZ, A|8.8125
GUTRICH, J|5.916667
GUVENEN, F|25.2
GWARTNEY, J|12.85714
GYOURKO, J|14.375
HA, J|8.875
HABER, S|15.41667
HACKBARTH, D|8.875
HACKETT, S|15.23958
HADAR, J|44.24074
HADDOCK, D|19
HADFIELD, G|12.16667
HADLOCK, C|12.55556
HAFER, R|13.46296
HAGERMAN, R|15.6875
HAGGARD, S|7.166667
HAGGBLADE, S|8.045634
HAGHANI, A|13.10417
HAGIU, A|11.11111
HAGSTROM, P|8.166667
HAHN, J|20.84861
HAHN, R|32.48684
HAI, W|10.37778
HAIDER, S|12.43182
HAIGH, M|5.5
HAILE, P|17.30741
HALBRENDT, C|3.416667
HALEY, W|33.5
HALL, A|23.11842
HALL, B|56.1101
HALL, G|12.27778
HALL, P|20.73333
HALL, R|61.88198
HALLAM, A|6.479167
HALLETT, A|4.152778
HALLIDAY, T|13.5
HALLSTROM, D|6.133333
HALLWOOD, C|6.625
HALPERN, J|8.1
HALTIWANGER, J|18.83197
HALVORSEN, R|28.65385
HAM, H|4.916667
HAM, J|11.94444
HAMAO, Y|53.08333
HAMERMES.DS|26.5
HAMERMESH, D|17.47603
HAMILTON, B|36.97826
HAMILTON, D|7.825
HAMILTON, J|76.35354
HAMILTON, V|13.20833
HAMMER, J|10.95111
HAMMITT, J|8.65505
HAMMOND, P|27.56771
HAMMOND, T|16.125
HAMMOUDEH, S|5.357143
HAMPTON, J|23.5
HAN, A|54.5
HAN, K|6.375
HAN, Y|11
HANDA, S|13
HANDY, S|13.13333
HANEMANN, M|22.45239
HANEMANN, W|75.52129
HANES, C|10.85714
HANINK, D|10.5
HANLON, M|13.73809
HANNAN, M|19.00926
HANNON, B|8.800366
HANNON, J|13
HANOUSEK, J|2.463203
HANRATTY, M|13
HANSEN, B|83.14227
HANSEN, C|14.40909
HANSEN, D|6.833333
HANSEN, G|68.36667
HANSEN, K|17.5
HANSEN, L|114.5521
HANSEN, M|10.73077
HANSEN, N|25.6
HANSEN, P|30.14583
HANSEN, R|48.46795
HANSEN, S|8.833335
HANSEN, W|16.18485
HANSMANN, H|23.375
HANSON, G|28.35658
HANSON, J|10.54375
HANSSENS, D|8.583333
HANSSON, I|14.25
HANUSHEK, E|27.82518
HANWECK, G|22.06944
HARBAUGH, R|7.6
HARBAUGH, W|27.26667
HARBERGER, A|28.95833
HARDIE, B|5.833333
HARDING, J|5.608334
HARDMAN, A|6.333333
HARFORD, J|28.25
HARKER, P|9.583333
HARLESS, D|35.5
HARLING, K|4
HARMATUCK, D|12
HARPER, C|5
HARRIGAN, J|31.86667
HARRINGTON, J|16.21667
HARRINGTON, S|9.3125
HARRIS, D|7.62963
HARRIS, J|48.90476
HARRIS, L|79.54546
HARRIS, M|52.25
HARRIS, T|8.488095
HARRISON, A|63.51563
HARRISON, B|36.32143
HARRISON, G|15.36599
HARRISON, J|177.3333
HARSANYI, J|26.66667
HARSTAD, R|15.33333
HART, C|1.5
HART, G|17.33333
HART, J|3.875
HART, O|82.84921
HARTARSKA, V|7.5
HARTLEY, M|9.777778
HARTLEY, P|6.95
HARTMAN, D|29.57143
HARTMAN, R|30.59583
HARTZELL, J|7.333333
HARUVY, E|5.336363
HARVEY, C|46.31458
HASBROUCK, J|48
HASEN, R|8.25
HASHIMOTO, M|43.48333
HASLAG, J|4.714285
HASTINGS, J|15.45833
HATFIELD, J|16.5
HATTA, T|19.22222
HATTEN, K|25.25
HATTON, T|6.371795
HAUG, P|18.66666
HAUGEN, R|12.47619
HAUGHWOUT, A|13.96429
HAURIN, D|9.467816
HAUSCH, D|19.1
HAUSE, J|16.125
HAUSER, R|13.06944
HAUSMAN, D|12.5
HAUSMAN, J|111.5927
HAUSMAN, W|7.222222
HAUSMANN, R|26.07222
HAUSWALD, R|14.16667
HAVEMAN, J|7.055556
HAVEMAN, R|10.07778
HAVENNER, A|6.233333
HAVRILESKY, T|16.27083
HAWORTH, C|11.16667
HAWRYLYSHYN, O|9.5
HAY, G|22.7
HAY, J|7.298333
HAY, M|11.5
HAYAMI, Y|26.61905
HAYENGA, M|4.308333
HAYES, B|52
HAYES, D|9.960257
HAYES, K|8.162699
HAYN, C|91.06667
HAYNES, K|3.090909
HAYNES, S|8.904762
HAYS, R|4.888889
HAZEN, G|10.66667
HAZLETT, T|19.55
HE, H|25.01667
HE, X|5.611111
HEADEN, A|14.5
HEADY, E|5.933333
HEAL, G|22.8406
HEALY, P|84.04848
HEARN, D|9.619047
HEATH, C|89.83334
HEATH, D|126.3542
HEATHCOTE, J|8.4
HEATON, J|56.13541
HEBERLEIN, T|58.15833
HECHT, S|59.73333
HECKMAN, J|104.3061
HEEMSKERK, M|7.833333
HEFFLEY, D|7.4
HEFLIN, F|7.75
HEGDE, S|2.666667
HEIDE, J|8.875
HEIEN, D|19.26923
HEIKKILA, E|9.25
HEIN, S|11
HEINER, R|16.4
HEINRICH, C|10.09667
HEKMAN, J|23.5
HELFAND, G|23.86667
HELFAND, S|9.333333
HELLAND, E|17.01282
HELLER, P|22.25
HELLERSTEIN, J|14.50694
HELLERSTEIN, W|7.875
HELLMANN, T|52.26388
HELLWIG, C|8.152777
HELLWIG, M|36.55556
HELMBERGER, P|9.083333
HELMS, L|39.41667
HELPMAN, E|49.67095
HELWEGE, J|24.83333
HEMENWAY, D|23.375
HEMMER, T|11.08333
HENDEL, I|16.44872
HENDERSHOTT, P|11.09848
HENDERSHOTT, T|8.785714
HENDERSON, B|3.833333
HENDERSON, D|12.76736
HENDERSON, J|26.18062
HENDERSON, R|99.71212
HENDERSON, V|24.68939
HENDLEY, K|10.37963
HENDRICKS, D|6.555557
HENDRICKS, K|12.90278
HENDRICKS, L|19.66667
HENDRICKS, W|15.91667
HENISZ, W|95
HENNART, J|18.375
HENNESSY, D|9.651786
HENRY, G|6.166667
HENRY, M|7.791667
HENRY, P|36.4
HENSHER, D|13.125
HENTSCHEL, J|9.333333
HENTSCHEL, L|79.875
HERBST, C|7.666667
HERBST, J|25
HERMALIN, B|30.59524
HERNANDEZ, L|8
HEROD, A|26.66667
HERR, A|5.527778
HERRERA, A|7.25
HERRERA, H|3.083333
HERRIGES, J|10.07639
HERRING, R|11.2381
HERSCH, J|16.62037
HERTEL, T|6.203431
HERTZ, T|5.166667
HERTZEL, M|7.65
HERZOG, H|8.674242
HESS, P|13.66667
HESTER, D|9.5
HESTON, A|85.33334
HESTON, S|151.9375
HEWINGS, G|6.961111
HEYNEMAN, S|8
HEYWOOD, J|5.319445
HIBON, M|19.52678
HICKS, R|12.61111
HIGGINS, E|3.375
HIGGINS, M|16.83333
HIGGS, R|18.575
HIGH, J|8.25
HILDENBRAND, W|7.833335
HILL, C|16.60606
HILL, D|21.375
HILLIARD, J|8.5
HILLMAN, A|8.666667
HILLMER, S|12
HILTON, R|7.833333
HINES, J|20.20476
HINICH, M|13.56
HIRANO, K|16.72
HIRSCH, A|4.75
HIRSCH, B|16.42593
HIRSCH, M|17.08333
HIRSHLEIFER, D|39.80729
HIRSHLEIFER, J|80.89286
HIRTH, R|13.95238
HITE, D|9.666667
HITE, P|6
HITT, L|80.41666
HITZHUSEN, F|6.354167
HO, J|7.444444
HO, K|10.66667
HO, T|34.55208
HO, V|12.66667
HOBAN, T|7.083333
HOBBS, B|9.454082
HOCH, I|14.2
HOCHMAN, E|8.03125
HOCHMAN, H|57.41667
HODDER, J|14.83333
HODGKIN, D|16.66667
HODGSON, D|6.472222
HODRICK, L|8.555555
HODRICK, R|59.40741
HOEHN, J|34.93333
HOENACK, S|16.1
HOERNER, J|1.9375
HOFER, C|14.66667
HOFF, K|7.166667
HOFFER, G|5.851852
HOFFERTH, S|21
HOFFMAN, D|11.88426
HOFFMAN, E|26.34444
HOFFMAN, P|8.947917
HOFFMAN, S|27.875
HOFFMANN, S|19
HOGAN, C|7.555556
HOGAN, T|10.89286
HOGAN, W|58.85416
HOGARTH, R|37.92708
HOJMAN, D|5.5
HOLBROOK, R|13.7
HOLCOMBE, R|11.07843
HOLDEN, C|9.083335
HOLDERNESS, C|39.625
HOLGUIN-VERAS, J|9.966666
HOLLAND, J|26.88889
HOLLAND, S|4.975
HOLLENBECK, K|8.833334
HOLLIFIELD, B|5.354167
HOLLOWAY, R|4.458333
HOLLOWAY, S|6.111111
HOLLY, A|25
HOLMAN, J|10.25
HOLMES, T|14.28952
HOLMSTROM, B|127.3305
HOLT, C|19.39007
HOLT, M|11.87821
HOLTHAUSEN, R|38.16071
HOLTZEAKIN, D|39.39131
HOLZER, H|21.16667
HONADLE, G|7.25
HONG, H|13.53205
HONG, J|6.619048
HONG, K|5.75
HONG, S|9.933334
HONG, Y|15.51083
HONORE, B|28.4
HOON, H|12.25
HOOVER, E|12.33333
HOOVER, G|3.433333
HOOVER, K|14.19048
HOPENHAYN, H|40.69445
HORAN, R|7.583333
HORI, H|3.833333
HORIBA, Y|3.75
HORNER, J|14.70833
HORNER, M|8.5
HOROWITZ, I|12.54167
HOROWITZ, J|22.47678
HORST, T|85
HORSTMANN, I|51.58334
HORTACSU, A|19.90222
HORVATH, M|26.625
HOSHI, T|26
HOTCHKISS, E|9.533334
HOTCHKISS, J|6.766667
HOTZ, V|14.78431
HOU, K|12.33333
HOUCK, J|6.833333
HOUGH, J|15.28571
HOUSE, C|5.8125
HOUSER, D|12.31481
HOUSTON, J|14.50758
HOUTENVILLE, A|7.5
HOUTHAKKER, H|79
HOWARD, D|14.85714
HOWARD, J|4.076666
HOWARTH, R|19.67391
HOWE, C|6.928572
HOWE, H|19.77778
HOWE, J|5.708333
HOWE, R|6.25
HOWELL, W|17.75
HOWITT, P|22.10151
HOWITT, R|21.14608
HOWLAND, M|9.266666
HOXBY, C|37.33333
HOYNES, H|13.99444
HOYT, R|9.87037
HOYT, W|13.5
HRIBAR, P|20.16667
HSIAO, C|29.20402
HSIAO, W|5.75
HSIEH, C|14.73333
HSIEH, D|65.23611
HSIEH, J|3.166667
HSU, D|10.1
HU, L|5.136667
HU, S|13.47619
HU, T|6.568928
HU, W|13.61111
HU, X|6.55
HU, Y|14.41667
HUANG, C|17.04583
HUANG, D|3.65
HUANG, J|8.264677
HUANG, M|21.31481
HUANG, R|26.88461
HUANG, W|16.16667
HUANG, Y|12.51111
HUBACEK, K|3.333333
HUBBARD, R|20.6369
HUBBARD, T|13.04902
HUBBELL, B|6.222222
HUBER, J|13.27778
HUBERMAN, G|31.70833
HUCK, P|9
HUDDART, S|23.08333
HUDSON, E|73.5
HUECKEL, G|16
HUETH, B|5.791667
HUFFMAN, G|7.888889
HUFFMAN, S|3
HUFFMAN, W|14.66453
HUGGETT, M|35.35417
HUGHES, J|9.112643
HUGHES, M|23.875
HUGHSON, E|6.595238
HUH, K|8.25
HUIZINGA, J|18.02778
HULL, B|7.25
HULTEN, C|26
HUMMELS, D|29.27976
HUMPHREY, D|21.75439
HUNG, M|11.79167
HUNGERFORD, T|17
HUNGERMAN, D|10.2
HUNT, J|26.01515
HUNTER, W|15.94444
HUNTINGTON, H|15.75
HUPPERT, D|35.5
HURD, M|38.65185
HURLEY, T|5.62963
HURST, E|21.78571
HURTER, A|16.25
HURVICH, C|10.6875
HURWICZ, L|28.91111
HUSKAMP, H|2.875
HUSSEY, R|36
HUSTED, T|7.537037
HUTCHENS, R|32.89394
HUTCHINSON, E|3.5
HUTCHINSON, P|4.166667
HUTCHISON, M|7.909091
HUTTON, A|15.4375
HVIDKJAER, S|8.222222
HWANG, B|21.66667
HWANG, H|11.05556
HWANG, J|14.44444
HYLTON, K|14.25
HYMAN, D|5
IACOVIELLO, M|34.36666
IANNACCONE, L|44.20833
IATAROLA, P|3.75
IBRAGIMOV, R|6.714286
ICHIISHI, T|9.4375
ICHNIOWSKI, C|30.73148
IDSON, L|2.75
IDSON, T|18.77778
IHLANFELDT, K|15.21368
IHNEN, L|6.75
IJIRI, Y|16.75
IKENBERRY, D|21.84722
IMAI, H|13.11111
IMBENS, G|24.73639
IMROHOROGLU, A|19.83333
IMROHOROGLU, S|10.07576
INDJEJIKIAN, R|20.55556
INDRO, D|5.833333
INFANTE, E|8.666667
INGERSOLL, J|101.2833
INMAN, R|23.6125
INNES, R|18.87963
INOUE, A|19.38636
INTRILIGATOR, M|15.88095
IOANNIDES, Y|17.57031
IOANNOU, P|5.527778
IPPOLITO, R|21.19231
IRELAND, P|22.55172
IRVINE, P|8.979167
IRWIN, D|12.94118
IRWIN, E|28.20833
IRWIN, J|11.9
IRWIN, S|6.321429
ISAAC, R|15.39762
ISARD, W|6
ISENGILDINA, O|2.375
ISGUT, A|15.16667
ISHAM, J|13.73333
ISIK, M|7.628788
ISLAM, M|5.944444
ISLAM, N|69.3125
ISRAEL, R|7.12963
ISRAILEVICH, P|3.25
ISSERMAN, A|8.458333
ITO, T|16.48793
ITTNER, C|31.27778
IVASHINA, V|11.55
IVERSEN, T|13.02778
IVES, B|39.83333
IVKOVIC, Z|8.642858
IWAI, K|20
IWATA, S|7.666667
IYENGAR, S|5.1875
IYER, L|16.61111
IYIGUN, M|6.722222
JACK, W|11.83333
JACKLIN, C|24.83333
JACKSON, C|9.625
JACKSON, J|8.634811
JACKSON, M|18.88939
JACKSON, W|7.9
JACOB, B|26.57692
JACOB, J|14.38889
JACOBS, J|14.0625
JACOBS, K|5.5
JACOBS, R|15.25
JACOBSEN, J|6.666667
JACOBSEN, M|3.545833
JACOBSEN, S|16
JACOBSON, M|5.785714
JACOBSON, R|8.5
JACOBY, H|23.82197
JACOBY, S|5.75
JAFFE, A|86.14942
JAFFE, J|15.27083
JAFFE, W|19.5
JAFFEE, D|39.62963
JAGANNATHAN, R|21.96875
JAHERA, J|7.5
JAIMOVICH, N|6.714286
JAIN, B|8.25
JAIN, D|17.7
JAIN, P|16.87037
JAIN, S|9.2
JAKUBS, J|6.25
JAMES, C|33.75
JAMES, H|18
JAMES, J|11.70833
JAMISON, D|14.18182
JANEBA, E|11.85714
JANG, K|2.833333
JANSON, B|19.90476
JANSSEN, M|7.564815
JANSSON, M|14.33333
JARAMILLO, F|8.833332
JARGOWSKY, P|33
JARRELL, G|48.08333
JARROW, R|22.18155
JARVIS, L|37.33333
JAYACHANDRAN, S|11.56667
JAYADEVAPPA, R|6
JAYARAMAN, N|4.716666
JAYNE, T|9.302814
JAYNES, G|26
JEANNE, O|10.60513
JEFFERSON, G|18.64206
JEGADEESH, N|17.55556
JEGANATHAN, P|34
JEITSCHKO, T|7.142857
JENKINS, G|5.5
JENKINS-SMITH, H|5.46
JENKINSON, T|11.5
JENNINGS, R|8.361111
JENSEN, E|19.875
JENSEN, F|4
JENSEN, H|7.050667
JENSEN, J|31.26746
JENSEN, M|465.5583
JENSEN, R|18.54167
JENTER, D|4.9
JEON, B|6.958333
JEON, Y|10.5
JEPSEN, C|5.444444
JERISON, M|9.333334
JERMANN, U|20.45312
JHA, S|8.766666
JIA, P|13.16667
JIANG, G|8.633334
JIANG, J|4.785714
JIMENEZ, E|11.21053
JIN, G|11.86111
JIN, L|17.5
JIN, W|10.08333
JIN, Y|7.233334
JO, H|15.75
JOHANNES, J|6.25
JOHANNES, M|3.888889
JOHANNESSON, M|16.39354
JOHANSSON, P|5.955555
JOHN, A|78
JOHN, K|20.14762
JOHNSON, D|11.12847
JOHNSON, E|14.62619
JOHNSON, G|44.375
JOHNSON, H|17.31712
JOHNSON, J|12.92608
JOHNSON, K|5.322917
JOHNSON, L|7.583333
JOHNSON, M|10.00645
JOHNSON, R|9.976357
JOHNSON, S|25.55913
JOHNSON, T|7.515873
JOHNSON, W|27.26218
JOHNSTON, R|7.003205
JOHRI, A|8.25
JOLLS, C|4
JONAS, A|17.83333
JONES, B|8.192708
JONES, C|60.92021
JONES, D|11.90952
JONES, E|8.955128
JONES, G|12.26667
JONES, J|7.892857
JONES, L|17.95897
JONES, R|23.36376
JORDA, O|15.16667
JORDAN, B|6.462121
JORDAN, J|19.09394
JORGENSEN, B|7.8
JORGENSEN, R|3.333333
JORGENSO.DW|72.06667
JORGENSON, D|33.0641
JORION, P|29.95455
JOSEPH, M|6.125
JOSKOW, P|38.05155
JOSLING, T|4.833333
JOSTOVA, G|3
JOVANOVIC, B|65.00347
JOY, L|7.5
JOY, O|11.41667
JOYCE, J|9.25
JOYCE, T|11.63725
JU, B|6.083333
JU, N|21.11111
JUD, G|9.104167
JUDD, K|51.43611
JUDGE, G|5.643518
JUHN, C|44.52083
JUNG, C|8.434525
JUST, D|3.4
JUST, R|16.42833
JUSTER, F|16.81667
KABOSKI, J|6.583333
KACPERCZYK, M|5.333333
KADAN, O|6.083333
KADANE, J|8.5
KADIYALI, V|12.43333
KAESTNER, R|10.63988
KAGANOVICH, M|8.5
KAGEL, J|13.4805
KAHAN, A|9.666667
KAHAN, M|11.875
KAHLE, K|21.83333
KAHN, A|47.33333
KAHN, C|18.4375
KAHN, J|16.59226
KAHN, L|23.87613
KAHN, M|14.47805
KAHN, S|16.48611
KAHNEMAN, D|297.1467
KAIN, J|56.46354
KAISER, H|4.861539
KAJII, A|8.4
KALABA, R|3.5
KALACHEK, E|13
KALAI, E|26.13333
KALAITZANDONAKES, N|8.333333
KALAY, A|20.29167
KALCHEVA, I|9.833334
KALEMLI-OZCAN, S|31.60238
KALLBERG, J|4.633333
KALLICH, J|2.994444
KALNINS, A|12.875
KAMAKURA, W|7
KAMARA, A|15.86667
KAMAS, L|7.066667
KAMENICA, E|7.45
KAMERSCHEN, D|7.645833
KAMIEN, M|25.24691
KAMINSKY, G|25.2
KAMLET, M|6.088889
KAMMA, S|5.166667
KAMMEN, D|9.35
KANBUR, R|20.19722
KANDEL, E|44.52778
KANDEL, S|17.36481
KANDIL, M|6.666667
KANE, E|18.13492
KANE, T|26.95833
KANEDA, H|6.25
KANEL, D|7.5
KANEMOTO, Y|14.5
KANG, H|19.2125
KANG, J|19
KANIEL, R|2.277778
KANIOVSKI, Y|9.166667
KANNINEN, B|49.02382
KAORU, Y|18.46667
KAPLAN, H|14.5
KAPLAN, R|10.16667
KAPLAN, S|56.714
KAPLOW, L|21.29032
KAPUR, D|3.25
KARATZAS, I|3.125
KARCESKI, J|10.95238
KAREKEN, J|23.83333
KARIV, S|7.925926
KARLAN, D|15.71111
KARLSSON, S|18
KARNI, E|23.6
KAROLYI, G|26.22917
KARP, L|8.533333
KARPOFF, J|17.20635
KARRAS, G|18.31579
KARTIK, N|7.208333
KASERMAN, D|6.797101
KASHYAP, A|30.41667
KATADA, S|9.5
KATOK, E|12.42593
KATSIMBRIS, G|8.472222
KATZ, A|8.25
KATZ, B|5
KATZ, L|46.28293
KATZ, M|94.05556
KATZ, R|5.166667
KATZENSTEIN, P|17
KATZMAN, M|17
KAU, J|12.73925
KAUFFMAN, K|8.25
KAUFMAN, B|27.33333
KAUFMAN, R|15.66667
KAUFMANN, R|12.49583
KAUL, G|30.93333
KAUN, D|10.16667
KAUSHAL, N|8.814815
KAVAJECZ, K|11.125
KAVKA, G|20.5
KAWAI, M|16.18182
KE, B|11.23333
KEANE, M|21.91844
KEARL, J|21.63095
KEARNEY, M|17.51852
KEARNS, R|3.75
KEATING, A|19.5
KEATING, B|3.5
KEATING, J|19.66667
KEELER, E|16.2037
KEELER, J|6.083333
KEELER, T|14.2085
KEENAN, D|10.46528
KEENEY, R|14.47727
KEESING, D|24.1875
KEHOE, P|18.80417
KEHOE, T|11.80215
KEIM, D|89.8
KEJRIWAL, M|4
KEKRE, S|10.16667
KELEJIAN, H|24.39506
KELLER, L|3.25
KELLER, M|6.6875
KELLER, W|34.19825
