au|qual
BARBER, B|49.70952
BARBER, W|6.666667
BARBERA, A|20.75
BARBERIS, N|44.27083
BARBIER, E|15.71667
BARCLAY, M|33.67949
BARDHAN, P|37.32828
BARFF, R|14.5
BARGERON, L|4.666667
BARHAM, B|6.67647
BARKLEY, D|10.39583
BARKOULAS, J|5.533333
BARLEVY, G|12.36111
BARLOW, R|38.66667
BARNES, T|10.5
BARNETT, A|3.777778
BARNETT, B|7.819444
BARNETT, P|13.22222
BARNETT, W|27.16905
BARNOW, B|9.75
BARNUM, D|4.2
BARON, D|29.31944
BARON, J|23.10897
BARRESE, J|7
BARRETT, C|13.66023
BARRETT, N|8.75
BARRETT, S|15.88889
BARRETT, W|5.25
BARRO, J|24.375
BARRO, R|149.2808
BARRON, G|2.875
BARRON, J|14.19444
BARRY, C|25.69792
BARRY, P|5.051515
BARSKY, R|29.87037
BARTEL, A|37.39815
BARTH, J|5.076923
BARTH, M|14.73
BARTH, P|11
BARTHOLDI, J|23.83333
BARTIK, T|58.18182
BARTOV, E|27.2
BARZEL, Y|41.4375
BASAK, S|22.06364
BASAR, T|14.3
BASER, O|13.625
BASKER, E|25.8
BASMANN, R|4.740741
BASS, F|13.16667
BASSETT, G|303.8333
BASSETTO, M|4.55
BASSI, L|23.44444
BASU, A|8.973611
BASU, K|18.5641
BASU, S|53.07333
BATCHELOR, R|7.916667
BATEMAN, F|8.388889
BATES, R|7.722222
BATIE, S|16
BATRA, R|17.2451
BATTAGLINI, M|10.38095
BATTALIO, R|12.73226
BATTE, M|9.36111
BATTIGALLI, P|14.7
BAUER, D|3.166667
BAUGHMAN, R|5.25
BAUM, C|11.17647
BAUM-SNOW, N|18
BAUMGARDNER, J|33.66667
BAUMOL, W|59.10199
BAXTER, M|57.23333
BAXTER, W|34.75
BAYARD, K|10.25
BAYE, M|13.0303
BAYER, P|10.63889
BAYLIS, K|9.416667
BAZERMAN, M|11.51852
BAZZOLI, G|9
BEACH, C|4.75
BEARD, T|7.422222
BEATTIE, B|19.33333
BEATTY, A|6.976191
